PLAYER,2022-2023,2023-2024,2024-2025,2025-2026
Trey Murphy,3206520,3359280,5159854,7285713
Simone Fontecchio,3205128,3044872,0,0
Andre Drummond,3200000,3360000,0,0
Derrick Jones,3200000,3360000,0,0
Dalen Terry,3191400,3350760,3510480,5399118
Sterling Brown,3122602,0,0,0
Josh Green,3098400,4765339,6762016,0
Jake LaRavia,3047640,3199920,3352680,5163127
Tre Mann,3046200,3191400,4908373,6964982
Jordan Nwora,3000000,3200000,0,0
Kevin Knox,3000000,3000000,0,0
Saddiq Bey,2959080,4556983,6498258,0
Malaki Branham,2925600,3071880,3217920,4962033
Joe Wieskamp,2909261,1927896,0,0
Kai Jones,2909040,3047880,4693735,6693266
Blake Griffin,2905851,0,0,0
Robin Lopez,2905851,0,0,0
Markieff Morris,2905851,0,0,0
Andre Iguodala,2905851,0,0,0
Serge Ibaka,2905851,0,0,0
Udonis Haslem,2905851,0,0,0
Wesley Matthews,2905851,0,0,0
Austin Rivers,2905851,0,0,0
Bismack Biyombo,2905851,0,0,0
Taj Gibson,2905851,0,0,0
RJ Hampton,2898243,1927896,0,0
Andrew Nicholson,2844429,2844429,0,0
Precious Achiuwa,2840160,4379526,6275861,0
Christian Braun,2808600,2949120,3089640,4921797
Jalen Johnson,2792640,2925360,4510905,6464127
Tyrese Maxey,2726880,4343920,6259588,0
Bruno Fernando,2717391,2581522,2717391,2853260
Walker Kessler,2696400,2831160,2965920,4878938
Keon Johnson,2681040,2808720,4474291,6447453
Charles Bassey,2674742,2600000,2500000,2500000
Dennis Schroeder,2641682,0,0,0
TJ Warren,2628597,0,0,0
Matthew Dellavedova,2628597,0,0,0
Trey Lyles,2625000,0,0,0
Zeke Nnaji,2617800,4306281,6235495,0
David Roddy,2588640,2718240,2847240,4831766
Isaiah Jackson,2573760,2696280,4435380,6422431
MarJon Beauchamp,2485200,2609400,2733720,4781276
Usman Garuba,2471160,2588400,4392515,6391109
Montrezl Harrell,2463490,2760026,0,0
Raul Neto,2463490,0,0,0
Frank Kaminsky,2463490,0,0,0
Willy Hernangomez,2443581,2559942,0,0
Theo Maledon,2408891,1761752,0,0
Blake Wesley,2385480,2504640,2624280,4726328
Josh Christopher,2372160,2485200,4346615,6354751
Isaiah Roby,2330681,2066585,0,0
Lindy Waters III,2316876,1927896,0,0
Immanuel Quickley,2316240,4171548,6128004,0
Wendell Moore,2306520,2421720,2537040,4574283
John Konchar,2300000,2400000,6165000,6165000
Damian Jones,2298385,2586665,0,0
Rodney McGruder,2298385,0,0,0
Bryn Forbes,2298385,0,0,0
Juan Hernangomez,2298385,0,0,0
Quentin Grimes,2277000,2385720,4296682,6311825
Saben Lee,2266640,1761752,0,0
Andrew Nembhard,2244111,2131905,2019699,2187451
Nikola Jovic,2239920,2352000,2464200,4445417
Payton Pritchard,2239200,4037277,5959021,0
Vlatko Cancar,2234359,2234359,2346606,0
Patrick Baldwin,2226000,2337720,2448840,4420156
TyTy Washington,2210040,2320440,2431080,4388099
Bones Hyland,2201520,2306400,4158439,6137856
Bol Bol,2200000,2200000,0,0
Peyton Watson,2193960,2303520,2413560,4356476
Marquese Chriss,2193920,0,0,0
Udoka Azubuike,2174880,3923483,5818526,0
Jaden McDaniels,2161440,3901399,5813084,0
Jordan McLaughlin,2160000,2320000,0,0
Malachi Flynn,2145720,3873024,5809537,0
Cam Thomas,2138160,2240160,4041249,5993172
Luke Kornet,2133278,2413304,0,0
Dennis Smith,2133278,0,0,0
Damion Lee,2133278,0,0,0
Juan Toscano-Anderson,2133278,0,0,0
Desmond Bane,2130240,3845083,5767625,0
Jaden Springer,2125200,2226240,4018363,5987361
Day'Ron Sharpe,2109480,2210040,3989122,5983683
Santiago Aldama,2094120,2194200,3960531,5940797
Tony Bradley,2036318,0,0,0
Frank Ntilikina,2036318,0,0,0
Kenrich Williams,2000000,6175000,6669000,7163000
Garrison Mathews,2000000,2000000,2230253,0
Jaylin Williams,2000000,2000000,2019699,2187699
Caleb Houstan,2000000,2000000,2019699,2187451
Jeremiah Robinson-Earl,2000000,1900000,1988598,0
Shake Milton,1997718,0,0,0
Edmond Sumner,1968175,2239943,0,0
Aaron Holiday,1968175,0,0,0
Yuta Watanabe,1968175,0,0,0
Theo Pinson,1968175,0,0,0
Thomas Bryant,1968175,0,0,0
Troy Brown,1968175,0,0,0
Josh Okogie,1968175,0,0,0
Drew Eubanks,1968175,0,0,0
Daniel Gafford,1930681,12402000,13394160,14386320
Terance Mann,1930681,10576923,11423077,0
Dean Wade,1930681,5709877,6166667,6623456
Jaylen Nowell,1930681,0,0,0
Naz Reid,1930681,0,0,0
Jalen McDaniels,1930681,0,0,0
Chimezie Metu,1910860,0,0,0
Davon Reed,1902133,0,0,0
KZ Okpala,1902133,0,0,0
Killian Tillie,1901625,0,0,0
Vernon Carey,1882621,0,0,0
Wenyen Gabriel,1878720,0,0,0
Thanasis Antetokounmpo,1878720,0,0,0
Moritz Wagner,1878720,0,0,0
Keita Bates-Diop,1878720,0,0,0
Oshae Brissett,1846738,0,0,0
Isaiah Joe,1836090,1997238,2164993,0
Anthony Gill,1836090,1997238,0,0
Nathan Knight,1836090,1997238,0,0
Justin Jackson,1836090,0,0,0
Ryan Arcidiacono,1836090,0,0,0
Javonte Green,1815677,0,0,0
Max Strus,1815677,0,0,0
Gabe Vincent,1815677,0,0,0
Herb Jones,1785000,1836096,0,0
KJ Martin,1782621,1930681,0,0
Nick Richards,1782621,5000000,5000000,5000000
Lamar Stevens,1782621,1930681,0,0
Tyrell Terry,1782621,0,0,0
Xavier Tillman,1782621,1930681,0,0
Naji Marshall,1782621,1930681,0,0
Paul Reed,1782621,0,0,0
Tre Jones,1782621,0,0,0
Haywood Highsmith,1752638,1902137,0,0
Omer Yurtseven,1752638,0,0,0
Leandro Bolmaro,1709300,0,0,0
Terry Taylor,1703902,0,0,0
Jared Butler,1674655,0,0,0
Jericho Sims,1639842,1927896,2092344,0
Sam Hauser,1637966,1927896,2092344,0
Kessler Edwards,1637966,1927896,0,0
Isaiah Todd,1575000,1836096,1988598,0
Vit Krejci,1563518,1836096,1988598,0
JT Thor,1563518,1836096,1988598,0
Marko Simonovic,1563518,1836096,0,0
BJ Boston,1563518,1836096,0,0
Jason Preston,1563518,1836096,0,0
Aaron Wiggins,1563518,1836096,1988598,0
Trendon Watford,1563518,1836096,1988598,0
Ayo Dosunmu,1563518,0,0,0
Isaiah Livers,1563518,1836096,0,0
Daishen Nix,1563518,1836096,1988598,0
Austin Reaves,1563518,0,0,0
Jose Alvarado,1563518,1836096,1988598,0
Miles McBride,1563518,1836096,0,0
Jock Landale,1563518,0,0,0
Greg Brown,1563518,0,0,0
Dalano Banton,1563518,0,0,0
Kenneth Lofton,1505966,1719864,2019699,2187699
Christian Koloko,1500000,1719864,2019699,0
Bryce McGowens,1461055,1719864,2019699,2187699
Eric Bledsoe,1300000,1300000,1300000,0
Jordan Goodwin,1280206,1927896,2092344,0
Kennedy Chandler,1200000,1719864,2019699,2187699
Noah Vonleh,1160955,0,0,0
Sandro Mamukelashvili,1116112,0,0,0
Sam Merrill,1105522,1997238,2164993,0
Zhaire Smith,1068200,0,0,0
Tyrese Martin,1017781,1719864,0,0
Jaden Hardy,1017781,1719864,2019699,0
Ryan Rollins,1017781,1719864,2019699,0
Max Christie,1017781,1719864,0,0
Josh Minott,1017781,1719864,2019699,2187699
Jabari Walker,1017781,1719864,2019699,0
Eugene Omoruyi,1013119,1927896,0,0
Kris Dunn,1000001,2586484,0,0
Kyle Singler,999200,0,0,0
Ishmail Wainright,980057,1927896,0,0
Admiral Schofield,877940,1997238,0,0
Justin Champagnie,853241,1927896,0,0
Trevelin Queen,838891,0,0,0
Moses Brown,824041,0,0,0
Matt Ryan,806097,1761752,0,0
DaQuan Jeffries,799403,2066585,0,0
PJ Dozier,784654,2413304,0,0
Cody Zeller,743922,0,0,0
Meyers Leonard,713558,0,0,0
Nik Stauskas,702311,702311,702311,0
Anthony Lamb,694878,1761752,0,0
Michael Carter-Williams,652829,3051144,0,0
DJ Augustin,633938,0,0,0
Duane Washington Jr,628802,0,0,0
Carlik Jones,612162,1927896,2092344,0
Juwan Morgan,576230,576230,576230,0
Malik Fitts,555217,555217,555217,0
Luka Samanic,538317,2066585,0,0
David Duke,531283,1761752,0,0
Trevor Keels,520589,0,0,0
Dereon Seabron,511816,547349,0,0
Cole Swider,508891,547349,0,0
Vince Williams Jr,508891,547349,0,0
EJ Liddell,508891,547349,0,0
Kevon Harris,508891,547349,0,0
Micah Potter,508891,547349,0,0
Trent Forrest,508891,1761752,0,0
JD Davison,508891,1761752,0,0
Mfiondu Kabengele,508891,1761752,0,0
Malcolm Hill,508891,0,0,0
Mamadi Diakite,508891,1761752,0,0
Isaiah Mobley,508891,1761752,0,0
McKinley Wright,508891,1761752,0,0
Collin Gillespie,508891,1761752,0,0
Jack White,508891,1761752,0,0
Buddy Boeheim,508891,1761752,0,0
Darius Days,508891,1761752,0,0
Trevor Hudgins,508891,1761752,0,0
Kendall Brown,508891,1761752,0,0
Moussa Diabate,508891,1761752,0,0
Scottie Pippen Jr,508891,1761752,0,0
Jamal Cain,508891,1761752,0,0
AJ Green,508891,1761752,0,0
Luka Garza,508891,1761752,0,0
Keon Ellis,508891,1761752,0,0
Neemias Queta,508891,1761752,0,0
Dominick Barlow,508891,1761752,0,0
Julian Champagnie,508891,1761752,0,0
Jeff Dowtin,508891,1761752,0,0
Ron Harper Jr,508891,1761752,0,0
Johnny Juzang,508891,1761752,0,0
John Butler,503041,1761752,0,0
Chima Moneke,500000,0,0,0
Facundo Campazzo,464299,0,0,0
Orlando Robinson,386055,1761752,0,0
Dru Smith,374357,0,0,0
AJ Lawson,371432,1761752,0,0
Jared Rhoden,307089,1761752,0,0
Louis King,307089,1761752,0,0
Robert Woodard,300000,0,0,0
Didi Louzada,268032,268032,268032,268032
Jarrett Culver,260295,0,0,0
Olivier Sarr,257371,0,0,0
Alondes Williams,254446,0,0,0
DJ Wilson,250000,0,0,0
Donovan Williams,239822,1761752,0,0
Quenton Jackson,219630,547349,0,0
Chris Silva,211045,0,0,0
Tyler Dorsey,201802,0,0,0
Braxton Key,201802,0,0,0
Jordan Hall,193027,0,0,0
Alize Johnson,192293,0,0,0
Kostas Antetokounmpo,172555,0,0,0
Devon Dotson,169630,0,0,0
Mac McClung,160856,1761752,0,0
Willie Cauley-Stein,155738,0,0,0
Nate Darling,152082,0,0,0
Xavier Cooks,140384,1719864,2019699,2187451
Keaton Wallace,140384,0,0,0
Shaquille Harrison,134862,2413304,0,0
Feron Hunt,131610,0,0,0
Lester Quinones,129405,0,0,0
Troy Williams,122741,0,0,0
Xavier Moon,116986,0,0,0
Jamaree Bouyea,116986,0,0,0
Jay Huff,116986,0,0,0
Skylar Mays,116574,0,0,0
Frank Jackson,113114,0,0,0
Michael Foster,106288,0,0,0
Deonte Burton,105522,0,0,0
Jarrell Brantley,105522,0,0,0
Xavier Sneed,102910,547349,0,0
Justin Lewis,102363,0,0,0
Lindell Wigginton,99438,547349,0,0
Jordan Schakel,96514,0,0,0
Demetrius Jackson,92857,92857,0,0
Stanley Umude,58493,0,0,0
Jeenathan Williams,52644,1719864,0,0
DJ Steward,50000,0,0,0
Armoni Brooks,50000,0,0,0
Jay Scrubb,49719,547349,0,0
Justin Minaya,35096,0,0,0
Kobi Simmons,32795,2066585,0,0
Gabe York,32171,0,0,0
Ibou Badji,18226,1761752,0,0
Tristan Thompson,16700,0,0,0
RaiQuan Gray,5849,547349,0,0
Jacob Gilyard,5849,547349,0,0
